Year	Title	Artist	Path	Rank	Genre	Wiki
1994	(At Your Best) You Are Love	Aaliyah	https://www.azlyrics.com/lyrics/aaliyah/atyourbest.html	70	/wiki/Contemporary_R%26B#/wiki/Quiet_storm#/wiki/Contemporary_R%26B#/wiki/Soul_music	/wiki/(At_Your_Best)_You_Are_Love#Aaliyah_version
1994	Back & Forth	Aaliyah	https://www.azlyrics.com/lyrics/aaliyah/backandforth.html	24	/wiki/Dance_music#/wiki/Pop_music#/wiki/Contemporary_R%26B#/wiki/New_jack_swing	/wiki/Back_%26_Forth_(Aaliyah_song)
2003	Come Over	Aaliyah	https://www.azlyrics.com/lyrics/aaliyah/comeover.html	92	/wiki/Contemporary_R%26B	/wiki/Come_Over_(Aaliyah_song)
2000	I Don't Wanna	Aaliyah	https://www.azlyrics.com/lyrics/aaliyah/idontwanna.html	96	/wiki/Contemporary_R%26B	/wiki/I_Don%27t_Wanna_(Aaliyah_song)
1996	If Your Girl Only Knew	Aaliyah	https://www.azlyrics.com/lyrics/aaliyah/ifyourgirlonlyknew.html	69	/wiki/Funk#/wiki/Pop_music#/wiki/Hip_hop_music	/wiki/If_Your_Girl_Only_Knew
2003	Miss You	Aaliyah	https://www.azlyrics.com/lyrics/aaliyah/missyou.html	8	/wiki/Contemporary_R%26B#/wiki/Pop_music	/wiki/Miss_You_(Aaliyah_song)
2002	More Than A Woman	Aaliyah	https://www.azlyrics.com/lyrics/aaliyah/morethanawoman.html	58	/wiki/Pop_music#/wiki/Electro_(music)#/wiki/Hip_hop_music#/wiki/Funk#/wiki/Contemporary_R%26B	/wiki/More_than_a_Woman_(Aaliyah_song)
2002	Rock the Boat	Aaliyah	https://www.azlyrics.com/lyrics/aaliyah/rocktheboat.html	85	/wiki/Contemporary_R%26B	/wiki/Rock_the_Boat_(Aaliyah_song)
1997	The One I Gave My Heart To	Aaliyah	https://www.azlyrics.com/lyrics/aaliyah/theoneigavemyheartto.html	78	/wiki/Pop_music#/wiki/Contemporary_R%26B	/wiki/The_One_I_Gave_My_Heart_To
1998	The One I Gave My Heart To	Aaliyah	https://www.azlyrics.com/lyrics/aaliyah/theoneigavemyheartto.html	86	/wiki/Pop_music#/wiki/Contemporary_R%26B	/wiki/The_One_I_Gave_My_Heart_To
2000	Try Again	Aaliyah	https://www.azlyrics.com/lyrics/aaliyah/tryagain.html	12	/wiki/Contemporary_R%26B#/wiki/Electro_(music)#/wiki/Dance-pop#/wiki/Trip_hop	/wiki/Try_Again_(Aaliyah_song)
1994	I Miss You	Aaron Hall	https://www.azlyrics.com/lyrics/aaronhall/imissyou.html	57	/wiki/Contemporary_R%26B	/wiki/I_Miss_You_(Aaron_Hall_song)
1991	Everybody Plays the Fool	Aaron Neville	https://www.azlyrics.com/lyrics/aaronneville/everybodyplaysthefool.html	86	/wiki/Soul_music#/wiki/R%26B	/wiki/Everybody_Plays_the_Fool
1967	Tell It Like It Is	Aaron Neville	https://www.azlyrics.com/lyrics/aaronneville/tellitlikeitis.html	76	/wiki/Rhythm_and_blues#/wiki/Pop_music#/wiki/Country_music#/wiki/Blues_rock#/wiki/Country_music#/wiki/Pop_music	/wiki/Tell_It_Like_It_Is_(song)
1977	Dancing Queen	ABBA	https://www.azlyrics.com/lyrics/abba/dancingqueen.html	12	/wiki/Disco#/wiki/Europop	/wiki/Dancing_Queen
1977	Knowing Me, Knowing You	ABBA	https://www.azlyrics.com/lyrics/abba/knowingmeknowingyou.html	97	/wiki/Europop#/wiki/Soft_rock	/wiki/Knowing_Me,_Knowing_You
1978	Take a Chance on Me	ABBA	https://www.azlyrics.com/lyrics/abba/takeachanceonme.html	32	/wiki/Europop#/wiki/Disco#/wiki/Synth-pop#/wiki/Hi-NRG	/wiki/Take_a_Chance_on_Me
1978	The Name of the Game	ABBA	https://www.azlyrics.com/lyrics/abba/thenameofthegame.html	97	/wiki/Progressive_pop#/wiki/Art_pop	/wiki/The_Name_of_the_Game_(ABBA_song)
1981	The Winner Takes It All	ABBA	https://www.azlyrics.com/lyrics/abba/thewinnertakesitall.html	23	/wiki/Pop_music	/wiki/The_Winner_Takes_It_All
1974	Waterloo	ABBA	https://www.azlyrics.com/lyrics/abba/waterloo.html	49	/wiki/Europop#/wiki/Pop_rock#/wiki/Rock_and_roll	/wiki/Waterloo_(ABBA_song)
1985	Be Near Me	ABC	https://www.azlyrics.com/lyrics/abc/benearme.html	71	/wiki/Synth-pop#/wiki/Dance-pop#/wiki/Blue-eyed_soul	/wiki/Be_Near_Me
1987	When Smokey Sings	ABC	https://www.azlyrics.com/lyrics/abc/whensmokeysings.html	70	/wiki/Blue-eyed_soul	/wiki/When_Smokey_Sings
1975	How Long?	Ace	https://www.azlyrics.com/lyrics/ace/howlong.html	58	/wiki/Soft_rock#/wiki/Pub_rock_(United_Kingdom)	/wiki/How_Long_(Ace_song)
1979	New York Groove	Ace Frehley	https://www.azlyrics.com/lyrics/acefrehley/newyorkgroove.html	60	/wiki/Rock_music	/wiki/New_York_Groove
2013	Bugatti	Ace Hood featuring Future and Rick Ross	https://www.azlyrics.com/lyrics/acehood/bugatti.html	91	/wiki/Trap_music#Trap	/wiki/Bugatti_(song)
1993	All That She Wants	Ace of Base	https://www.azlyrics.com/lyrics/aceofbase/allthatshewants.html	51	/wiki/Dance-pop#/wiki/Reggae_fusion	/wiki/All_That_She_Wants
1994	All That She Wants	Ace of Base	https://www.azlyrics.com/lyrics/aceofbase/allthatshewants.html	9	/wiki/Dance-pop#/wiki/Reggae_fusion	/wiki/All_That_She_Wants
1996	Beautiful Life	Ace of Base	https://www.azlyrics.com/lyrics/aceofbase/beautifullife.html	94	/wiki/Techno	/wiki/Beautiful_Life_(Ace_of_Base_song)
1998	Cruel Summer	Ace of Base	https://www.azlyrics.com/lyrics/aceofbase/cruelsummer.html	66	/wiki/Synth-pop#/wiki/New_wave_music#/wiki/Dance-pop#/wiki/House_music#/wiki/House_music#/wiki/Progressive_house#/wiki/Electronic_dance_music	/wiki/Cruel_Summer_(Bananarama_song)
1994	Don't Turn Around	Ace of Base	https://www.azlyrics.com/lyrics/aceofbase/dontturnaround.html	10	/wiki/Rock_music#/wiki/Reggae_fusion#/wiki/Reggae_fusion	/wiki/Don%27t_Turn_Around
1994	The Sign	Ace of Base	https://www.azlyrics.com/lyrics/aceofbase/thesign.html	1	/wiki/Reggae_fusion#Euro_reggae#/wiki/Pop_music#/wiki/Europop	/wiki/The_Sign_(song)
1983	Goody Two-Shoes	Adam Ant	https://www.azlyrics.com/lyrics/adamant/goodytwoshoes.html	51	/wiki/New_wave_music#/wiki/Dance-rock#/wiki/Big_band	/wiki/Goody_Two-Shoes_(song)
2010	Whataya Want from Me	Adam Lambert	https://www.azlyrics.com/lyrics/adamlambert/whatayawantfromme.html	45	/wiki/Pop_rock	/wiki/Whataya_Want_from_Me
2022	Easy on Me	Adele	https://www.azlyrics.com/lyrics/adele/easyonme.html	4	NONE	/wiki/Easy_on_Me
2015	Hello	Adele	https://www.azlyrics.com/lyrics/adele/hello.html	35	/wiki/Soul_music	/wiki/Hello_(Adele_song)
2016	Hello	Adele	https://www.azlyrics.com/lyrics/adele/hello.html	7	/wiki/Soul_music	/wiki/Hello_(Adele_song)
2022	Oh My God	Adele	https://www.azlyrics.com/lyrics/adele/ohmygod.html	72	/wiki/Pop_music	/wiki/Oh_My_God_(Adele_song)
2011	Rolling in the Deep	Adele	https://www.azlyrics.com/lyrics/adele/rollinginthedeep.html	1	/wiki/Rhythm_and_blues#/wiki/Soul_music#/wiki/Gospel_music#/wiki/Alternative_rock#/wiki/Soul_music	/wiki/Rolling_in_the_Deep
2012	Rolling in the Deep	Adele	https://www.azlyrics.com/lyrics/adele/rollinginthedeep.html	71	/wiki/Rhythm_and_blues#/wiki/Soul_music#/wiki/Gospel_music#/wiki/Alternative_rock#/wiki/Soul_music	/wiki/Rolling_in_the_Deep
2012	Rumour Has It	Adele	https://www.azlyrics.com/lyrics/adele/rumourhasit.html	64	/wiki/Blues#/wiki/Pop_music#/wiki/Jazz_music	/wiki/Rumour_Has_It_(Adele_song)
2016	Send My Love (To Your New Lover)	Adele	https://www.azlyrics.com/lyrics/adele/sendmylovetoyournewlover.html	26	/wiki/Pop_music#/wiki/Contemporary_R%26B	/wiki/Send_My_Love_(To_Your_New_Lover)
2012	Set Fire to the Rain	Adele	https://www.azlyrics.com/lyrics/adele/setfiretotherain.html	12	/wiki/Power_pop	/wiki/Set_Fire_to_the_Rain
2011	Someone Like You	Adele	https://www.azlyrics.com/lyrics/adele/someonelikeyou.html	24	/wiki/Pop_music	/wiki/Someone_Like_You_(Adele_song)
2012	Someone like You	Adele	https://www.azlyrics.com/lyrics/adele/someonelikeyou.html	43	/wiki/Pop_music	/wiki/Someone_like_You_(Adele_song)
2017	Water Under the Bridge	Adele	https://www.azlyrics.com/lyrics/adele/waterunderthebridge.html	88	/wiki/Pop_music#/wiki/Soul_music#/wiki/Soft_rock	/wiki/Water_Under_the_Bridge
2016	When We Were Young	Adele	https://www.azlyrics.com/lyrics/adele/whenwewereyoung.html	83	/wiki/Soul_music	/wiki/When_We_Were_Young_(Adele_song)
1995	Freak Like Me	Adina Howard	https://www.azlyrics.com/lyrics/adinahoward/freaklikeme.html	13	/wiki/Contemporary_R%26B#/wiki/Hip_hop_soul#/wiki/UK_garage#/wiki/Pop_music#/wiki/Contemporary_R%26B	/wiki/Freak_Like_Me
1994	Amazing	Aerosmith	https://www.azlyrics.com/lyrics/aerosmith/amazing.html	72	/wiki/Rock_music	/wiki/Amazing_(Aerosmith_song)
1988	Angel	Aerosmith	https://www.azlyrics.com/lyrics/aerosmith/angel.html	34	/wiki/Glam_metal	/wiki/Angel_(Aerosmith_song)
1994	Crazy	Aerosmith	https://www.azlyrics.com/lyrics/aerosmith/crazy.html	68	/wiki/Blues_rock#/wiki/Glam_metal	/wiki/Crazy_(Aerosmith_song)
1993	Cryin'	Aerosmith	https://www.azlyrics.com/lyrics/aerosmith/cryin.html	60	NONE	/wiki/Cryin%27
1976	Dream On	Aerosmith	https://www.azlyrics.com/lyrics/aerosmith/dreamon.html	51	/wiki/Hard_rock#/wiki/Blues_rock#/wiki/Symphonic_rock	/wiki/Dream_On_(Aerosmith_song)
1998	I Don't Want to Miss a Thing	Aerosmith	https://www.azlyrics.com/lyrics/aerosmith/idontwanttomissathing.html	23	/wiki/Hard_rock#/wiki/Pop_rock#/wiki/Glam_metal#/wiki/Country_music	/wiki/I_Don%27t_Want_to_Miss_a_Thing
2001	Jaded	Aerosmith	https://www.azlyrics.com/lyrics/aerosmith/jaded.html	47	/wiki/Pop_rock#/wiki/Alternative_rock	/wiki/Jaded_(Aerosmith_song)
1990	Janie's Got a Gun	Aerosmith	https://www.azlyrics.com/lyrics/aerosmith/janiesgotagun.html	61	/wiki/Glam_metal#/wiki/Hard_rock#/wiki/Psychedelic_rock#/wiki/Progressive_rock	/wiki/Janie%27s_Got_a_Gun
1993	Livin' on the Edge	Aerosmith	https://www.azlyrics.com/lyrics/aerosmith/livinontheedge.html	94	NONE	/wiki/Livin%27_on_the_Edge
1989	Love in an Elevator	Aerosmith	https://www.azlyrics.com/lyrics/aerosmith/loveinanelevator.html	81	/wiki/Glam_metal#/wiki/Pop_metal#/wiki/Funk_metal#/wiki/Blues_rock#/wiki/Hard_rock	/wiki/Love_in_an_Elevator
1977	Walk This Way	Aerosmith	https://www.azlyrics.com/lyrics/aerosmith/walkthisway.html	90	/wiki/Hard_rock#/wiki/Funk_rock#/wiki/Rap_rock#/wiki/Hard_rock#/wiki/Dance-rock	/wiki/Walk_This_Way
1990	What It Takes	Aerosmith	https://www.azlyrics.com/lyrics/aerosmith/whatittakes.html	91	/wiki/Hard_rock#/wiki/Power_ballad#/wiki/Country_music#/wiki/Soft_rock	/wiki/What_It_Takes_(Aerosmith_song)
1990	Can't Stop	After 7	https://www.azlyrics.com/lyrics/after7/cantstop.html	60	/wiki/Contemporary_R%26B#/wiki/New_jack_swing	/wiki/Can%27t_Stop_(After_7_song)
1990	Ready or Not	After 7	https://www.azlyrics.com/lyrics/after7/readyornot.html	54	/wiki/Contemporary_R%26B	/wiki/Ready_or_Not_(After_7_song)
1995	Til You Do Me Right	After 7	https://www.azlyrics.com/lyrics/after7/tilyoudomeright.html	88		
1985	Take On Me	a-ha	https://www.azlyrics.com/lyrics/aha/takeonme.html	10	/wiki/Synth-pop#/wiki/New_wave_music#/wiki/Ska_punk	/wiki/Take_On_Me
1980	All Out of Love	Air Supply	https://www.azlyrics.com/lyrics/airsupply/alloutoflove.html	55	/wiki/Soft_rock#/wiki/Soul_music	/wiki/All_Out_of_Love
1982	Even the Nights Are Better	Air Supply	https://www.azlyrics.com/lyrics/airsupply/eventhenightsarebetter.html	37	/wiki/Soft_rock	/wiki/Even_the_Nights_Are_Better
1981	Every Woman in the World	Air Supply	https://www.azlyrics.com/lyrics/airsupply/everywomanintheworld.html	27	/wiki/Soft_rock	/wiki/Every_Woman_in_the_World
1982	Here I Am	Air Supply	https://www.azlyrics.com/lyrics/airsupply/hereiam.html	80	/wiki/Soft_rock	/wiki/Here_I_Am_(Air_Supply_song)
1980	Lost in Love	Air Supply	https://www.azlyrics.com/lyrics/airsupply/lostinlove.html	15	/wiki/Soft_rock	/wiki/Lost_in_Love_(Air_Supply_song)
1983	Making Love Out of Nothing at All	Air Supply	https://www.azlyrics.com/lyrics/airsupply/makingloveoutofnothingatall.html	66	/wiki/Pop_rock#/wiki/Soft_rock#/wiki/Pop_rock	/wiki/Making_Love_Out_of_Nothing_at_All
1982	Sweet Dreams	Air Supply	https://www.azlyrics.com/lyrics/airsupply/sweetdreams.html	28	/wiki/Soft_rock	/wiki/Sweet_Dreams_(Air_Supply_song)
1981	The One That You Love	Air Supply	https://www.azlyrics.com/lyrics/airsupply/theonethatyoulove.html	28	/wiki/Soft_rock	/wiki/The_One_That_You_Love
2021	Bang!	AJR	https://www.azlyrics.com/lyrics/ajr/bang.html	56	/wiki/Pop_music	/wiki/Bang!_(AJR_song)
2009	Beautiful	Akon featuring Colby O'Donis and Kardinal Offishall	https://www.azlyrics.com/lyrics/akon/beautiful.html	54	/wiki/Dance-pop	/wiki/Beautiful_(Akon_song)
2007	Don't Matter	Akon	https://www.azlyrics.com/lyrics/akon/dontmatter.html	11	/wiki/Reggae_fusion#/wiki/Contemporary_R%26B	/wiki/Don%27t_Matter
